,Unnamed: 0,Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Unnamed: 9,Gender
0,0,mstephenson@fernandez.com,"835 Frank Tunnel
Wrightmouth, MI 82180-9605",Violet,34.49726772511229,12.65565114916675,39.57766801952616,4.082620632952961,587.9510539684005,,M
1,1,hduke@hotmail.com,"4547 Archer Common
Diazchester, CA 06566-8576",DarkGreen,31.92627202636016,11.10946072868256,37.26895886829774,2.66403418213262,392.2049334443264,,M
2,2,pallen@yahoo.com,"24645 Valerie Unions Suite 582
Cobbborough, DC 99414-7564",Bisque,33.00091475564268,11.33027805777751,37.11059744212085,4.104543202376424,487.5475048674721,,M
3,3,riverarebecca@gmail.com,"1414 David Throughway
Port Jason, OH 22070-1220",SaddleBrown,34.30555662975554,13.71751366514251,36.72128267790313,3.120178782748092,581.8523440352178,,F
4,4,mstephens@davidson-herman.com,"14023 Rodriguez Passage
Port Jacobville, PR 37242-1057",MediumAquaMarine,33.33067252364639,12.79518855107811,37.53665330059473,4.446308318351435,599.4060920457634,,M
5,5,alvareznancy@lucas.biz,"645 Martha Park Apt. 611
Jeffreychester, MN 67218-7250",FloralWhite,33.87103787934198,12.02692533975506,34.47687762925054,5.493507201364199,637.102447915074,,F
6,6,katherine20@yahoo.com,"68388 Reyes Lights Suite 692
Josephbury, WV 92213-0247",DarkSlateBlue,32.02159550138701,11.36634830971053,36.6837761528696,4.685017246570912,521.5721747578274,,F
7,7,awatkins@yahoo.com,"Unit 6538 Box 8980
DPO AP 09026-4941",Aqua,32.73914293838033,12.35195897300293,37.37335885854755,4.434273434899938,549.9041461052942,,M
8,8,vchurch@walter-martinez.com,"860 Lee Key
West Debra, SD 97450-0495",Salmon,33.98777289568564,13.38623527567643,37.53449734155573,3.273433577747714,570.2004089636195,,M
9,9,bonnie69@lin.biz,"PSC 2734, Box 5255
APO AA 98456-7482",Brown,31.93654861844892,11.8141282949722,37.14516822352819,3.202806071553459,427.1993848953281,,F
10,10,andrew06@peterson.com,"26104 Alexander Groves
Alexandriaport, WY 28244-9149",Tomato,33.99257277495374,13.33897544766211,37.22580613162114,2.482607770510596,492.6060127179966,,M
11,11,ryanwerner@freeman.biz,"Unit 2413 Box 0347
DPO AA 07580-2652",Tomato,33.87936082480498,11.58478299953527,37.08792607098381,3.71320920294043,522.3374046069357,,M
